State         Time      Voltage         csa_NJc    Solution_Pot              c0     Theta_Alpha      Theta_Beta          R_beta         csb_NJc        Position           csa_e           csb_e    Cycle_Number
  CDR        hours        Volts         mol/cm3               V         mol/cm3               ,               ,            rate            conc            node           equiv           equiv               ,
   C       0.46051      2.00254     1.86791E+00     8.43714E-03     7.14671E-04     7.95748E-01     2.04252E-01     1.66962E-03     3.85503E+00     9.00000E+00     1.69887E+00     2.90981E+00     1.00000E+00
   C       0.46051      2.00254     1.86623E+00     9.64889E-03     6.80252E-04     7.98974E-01     2.01026E-01     1.67036E-03     3.85142E+00     1.00000E+01     1.69464E+00     2.90952E+00     1.00000E+00
   C       0.46051      2.00254     1.86451E+00     1.08863E-02     6.46714E-04     8.02194E-01     1.97806E-01     1.67089E-03     3.84749E+00     1.10000E+01     1.69038E+00     2.90923E+00     1.00000E+00
   C       0.46051      2.00254     1.86274E+00     1.21512E-02     6.14064E-04     8.05411E-01     1.94589E-01     1.67122E-03     3.84321E+00     1.20000E+01     1.68609E+00     2.90895E+00     1.00000E+00
   C       0.46051      2.00254     1.86093E+00     1.34457E-02     5.82308E-04     8.08625E-01     1.91375E-01     1.67133E-03     3.83855E+00     1.30000E+01     1.68176E+00     2.90868E+00     1.00000E+00
   C       0.46051      2.00254     1.85907E+00     1.47719E-02     5.51453E-04     8.11840E-01     1.88160E-01     1.67120E-03     3.83345E+00     1.40000E+01     1.67740E+00     2.90841E+00     1.00000E+00
   C       0.46051      2.00254     1.85716E+00     1.61321E-02     5.21505E-04     8.15057E-01     1.84943E-01     1.67084E-03     3.82789E+00     1.50000E+01     1.67299E+00     2.90814E+00     1.00000E+00
   C       0.46051      2.00254     1.85519E+00     1.75287E-02     4.92471E-04     8.18276E-01     1.81724E-01     1.67022E-03     3.82181E+00     1.60000E+01     1.66854E+00     2.90788E+00     1.00000E+00
   C       0.46051      2.00254     1.85317E+00     1.89644E-02     4.64357E-04     8.21500E-01     1.78500E-01     1.66933E-03     3.81516E+00     1.70000E+01     1.66404E+00     2.90763E+00     1.00000E+00
   C       0.46051      2.00254     1.85108E+00     2.04418E-02     4.37171E-04     8.24730E-01     1.75270E-01     1.66816E-03     3.80788E+00     1.80000E+01     1.65949E+00     2.90737E+00     1.00000E+00
   C       0.46051      2.00254     1.84892E+00     2.19641E-02     4.10919E-04     8.27966E-01     1.72034E-01     1.66669E-03     3.79992E+00     1.90000E+01     1.65487E+00     2.90712E+00     1.00000E+00
   C       0.46051      2.00254     1.84669E+00     2.35341E-02     3.85607E-04     8.31209E-01     1.68791E-01     1.66492E-03     3.79122E+00     2.00000E+01     1.65021E+00     2.90688E+00     1.00000E+00
   C       0.46051      2.00254     1.84439E+00     2.51554E-02     3.61243E-04     8.34458E-01     1.65542E-01     1.66281E-03     3.78172E+00     2.10000E+01     1.64547E+00     2.90663E+00     1.00000E+00
   C       0.46051      2.00254     1.84200E+00     2.68314E-02     3.37833E-04     8.37714E-01     1.62286E-01     1.66035E-03     3.77136E+00     2.20000E+01     1.64068E+00     2.90639E+00     1.00000E+00
   C       0.46051      2.00254     1.83954E+00     2.85658E-02     3.15383E-04     8.40975E-01     1.59025E-01     1.65752E-03     3.76009E+00     2.30000E+01     1.63583E+00     2.90616E+00     1.00000E+00
   C       0.46051      2.00254     1.83700E+00     3.03627E-02     2.93901E-04     8.44238E-01     1.55762E-01     1.65432E-03     3.74787E+00     2.40000E+01     1.63091E+00     2.90593E+00     1.00000E+00
   C       0.46051      2.00254     1.83437E+00     3.22261E-02     2.73394E-04     8.47499E-01     1.52501E-01     1.65071E-03     3.73469E+00     2.50000E+01     1.62594E+00     2.90570E+00     1.00000E+00
   C       0.46051      2.00254     1.83165E+00     3.41604E-02     2.53866E-04     8.50753E-01     1.49247E-01     1.64670E-03     3.72056E+00     2.60000E+01     1.62092E+00     2.90547E+00     1.00000E+00
   C       0.46051      2.00254     1.82886E+00     3.61699E-02     2.35325E-04     8.53994E-01     1.46006E-01     1.64227E-03     3.70551E+00     2.70000E+01     1.61586E+00     2.90525E+00     1.00000E+00
   C       0.46051      2.00254     1.82598E+00     3.82592E-02     2.17778E-04     8.57211E-01     1.42789E-01     1.63741E-03     3.68966E+00     2.80000E+01     1.61077E+00     2.90504E+00     1.00000E+00
   C       0.46051      2.00254     1.82304E+00     4.04325E-02     2.01229E-04     8.60393E-01     1.39607E-01     1.63213E-03     3.67316E+00     2.90000E+01     1.60568E+00     2.90483E+00     1.00000E+00
