THICKNESS   POROSITY    VFRAC_COND  CRATE       VFRAC_BIND  TSTEP       
500         0.740625    0.03        0.5         0           0.5        
500         0.740625    0.04        0.5         0           0.5        
500         0.740625    0.045       0.5         0           0.5        
500         0.740625    0.051       0.5         0           0.5        
500         0.740625    0.055       0.5         0           0.5        
500         0.740625    0.06        0.5         0           0.5        
500         0.740625    0.07        0.5         0           0.5        
500         0.740625    0.08        0.5         0           0.5        
500         0.740625    0.09        0.5         0           0.5        
500         0.740625    0.1         0.5         0           0.5        
500         0.740625    0.15        0.5         0           0.5        
500         0.740625    0.2         0.5         0           0.5        
500         0.79375     0.02        0.5         0           0.5        
500         0.79375     0.03        0.5         0           0.5        
500         0.79375     0.04        0.5         0           0.5        
500         0.79375     0.045       0.5         0           0.5        
500         0.79375     0.051       0.5         0           0.5        
500         0.79375     0.055       0.5         0           0.5        
500         0.79375     0.06        0.5         0           0.5        
500         0.79375     0.07        0.5         0           0.5        
500         0.79375     0.08        0.5         0           0.5        
500         0.79375     0.09        0.5         0           0.5        
500         0.79375     0.1         0.5         0           0.5        
500         0.79375     0.15        0.5         0           0.5        
500         0.79375     0.2         0.5         0           0.5        
500         0.846875    0.02        0.5         0           0.5        
500         0.846875    0.03        0.5         0           0.5        
500         0.846875    0.04        0.5         0           0.5        
500         0.846875    0.045       0.5         0           0.5        
500         0.846875    0.051       0.5         0           0.5        
500         0.846875    0.055       0.5         0           0.5        
500         0.846875    0.06        0.5         0           0.5        
500         0.846875    0.07        0.5         0           0.5        
500         0.846875    0.08        0.5         0           0.5        
500         0.846875    0.09        0.5         0           0.5        
500         0.846875    0.1         0.5         0           0.5        
500         0.846875    0.15        0.5         0           0.5        
500         0.846875    0.2         0.5         0           0.5        
500         0.9         0.02        0.5         0           0.5        
500         0.9         0.03        0.5         0           0.5        
500         0.9         0.04        0.5         0           0.5        
500         0.9         0.045       0.5         0           0.5        
500         0.9         0.051       0.5         0           0.5        
500         0.9         0.055       0.5         0           0.5        
500         0.9         0.06        0.5         0           0.5        
500         0.9         0.07        0.5         0           0.5        
500         0.9         0.08        0.5         0           0.5        
500         0.9         0.09        0.5         0           0.5        
500         0.9         0.1         0.5         0           0.5        
500         0.9         0.15        0.5         0           0.5        
500         0.9         0.2         0.5         0           0.5        
465.385     0.05        0.02        0.5         0           0.5        
465.385     0.05        0.03        0.5         0           0.5        
465.385     0.05        0.04        0.5         0           0.5        
465.385     0.05        0.045       0.5         0           0.5        
465.385     0.05        0.051       0.5         0           0.5        
465.385     0.05        0.055       0.5         0           0.5        
465.385     0.05        0.06        0.5         0           0.5        
465.385     0.05        0.07        0.5         0           0.5        
465.385     0.05        0.08        0.5         0           0.5        
465.385     0.05        0.09        0.5         0           0.5        
465.385     0.05        0.1         0.5         0           0.5        
465.385     0.05        0.15        0.5         0           0.5        
465.385     0.05        0.2         0.5         0           0.5        
465.385     0.103125    0.02        0.5         0           0.5        
465.385     0.103125    0.03        0.5         0           0.5        
465.385     0.103125    0.04        0.5         0           0.5        
